現契約終了日,完了予定日,商談名,失注種別,失注理由,受注/失注理由詳細,商談 所有者,TGT種別*商談(2024年度下期~,MRR,金額,期待収益
2025/02/28,2025/03/01,oVice株式会社様向け 更新商談(2025年3月開始),Lost-他決,要件不一致 – 機能が合わない,"【データ】
成果も出ておりロイヤル顧客だったがまさかの解約となる。体制変更によりセールス方針が変わり、BDR効率よりもCRM内のデータクレンジングの優先度が高まりSalesNowに他決となる",清水 俊介,戦略SGT(IT),275000,,
2025/03/31,2025/04/01,株式会社クロスキャット様向け 更新商談(2025年4月開始),,Budget – 予算不足,"【体制】
導入推進者のMK部長の退職に伴い、部門予算が確保できなくなり、BDR活動を中断することとなった。また、営業代行との組み合わせで成果が出ていなかった。",三澤 拓也,その他,270000,,
2025/03/17,2025/03/18,株式会社NTTデータ様向け 更新商談(2025年3月開始),NoNeeds-ニーズなし,ニーズがない – 導入必要性が弱い,"【体制】
導入部署が解散になり、引受部門が利用用途を見出すことができなかった。",内藤 陽太,その他,166000,,
2025/03/31,2025/04/01,トムソン・ロイター株式会社様向け 更新商談(2025年4月開始),,Budget – 予算不足,"【コスト】
US本社の方針により、日本支社における全体的なコスト削減が決定されたため、不本意ながら、infoboxを含む複数サービスを順次解約する運びとなりました。",Hiranuma Kaito,その他,250000,3000000,0
2025/05/06,2025/05/07,株式会社Prazto様向け 更新商談(2025年5月開始),Timing-見送り,Authority （推進者の力）,"【体制】
BDRが1名(兼務)しかおらずリソース捻出できなかった",内藤 陽太,戦略SGT(IT),300000,3800000,0
2025/05/12,2025/05/13,株式会社バッケン様向け 更新商談(2025年5月開始),Timing-見送り,ニーズがない – 導入必要性が弱い,"【体制】
新規事業がたちあがっておらず、自社事業用途で使えておらず解約",内藤 陽太,その他,285000,3120000,0
2025/05/12,2025/05/13,Glossom株式会社様向け 更新商談(2025年5月開始),NoNeeds-ニーズなし,要件不一致 – 機能が合わない,利用部門の担当退職,清水 俊介,戦略SGT(IT),300000,3900000,0
2025/05/06,2025/05/07,株式会社モバイル・プランニング様向け 更新商談(2025年5月開始),,その他,"【体制】
BDRリソース捻出できず解約",内藤 陽太,その他,300000,3000000,0
2025/06/30,2025/07/01,株式会社SalesX様向け 更新商談(2025年7月開始),Timing-見送り,ニーズがない – 導入必要性が弱い,"採算があわなかった

導入したメンバーがもういない。

運用にのせきれなかった。

なぜ運用にのらなかったのか。

部署番号、名前をひとつひとつみにいかなければならない。

 

38万円/月

→1アポあたりの利益（高くて2万）

＋19アポ　→　現実的でない",内藤 陽太,その他,380000,3960000,0
2025/06/30,2025/07/01,株式会社ヴェルスリッチ様向け 更新商談(2025年7月開始),Timing-見送り,ニーズがない – 導入必要性が弱い,"一定程度成果がでていたが、linkedin＋αでinfoboxを活用。
linked in運用で十分という判断になった。

サマリ

満足度は高くないが成果はでているという状況。

状況

現在は既に顧客を十分に開拓できている状態で新規法人開拓の用途でinfoboxを殆ど使っていない。

候補者探しでlinked inでちょこちょこ使っているが普通に使うのと大差ない。探しきれない人をinfoboxで探している。

活用時の印象

インテントの効能が感じられなかった。

...",内藤 陽太,その他,200000,2400000,0
2025/01/21,2025/01/22,株式会社Emooove様向け 更新商談(2025年1月開始),,要件不一致 – 機能が合わない,社長と合意していた内容にまったく反する要望を息子がいいだし途中解約。　SNS情報の充実を希望,内藤 陽太,その他,200000,1200000,0
2025/09/21,2025/09/22,トロン株式会社様向け 更新商談(2025年9月開始),Timing-見送り,ニーズがない – 導入必要性が弱い,商材特性によりニッチな市場でのBDR用途で導入いただくも、成果創出が難しく解約判断となってしまった。,細矢 由夏,その他,200000,2400000,0
2025/01/31,2025/02/01,株式会社Skillnote様向け 更新商談(2025年2月開始),,ニーズがない – 導入必要性が弱い,"【人物データ】
直通番号を活用したBDRで一定の成果が出たが、期待をしていた人物データの量が十分ではなく費用対効果の観点から解約。一方で、CRMリード連携には興味をお持ち頂け、今後のアップデートにもご期待を頂く。",清水 俊介,戦略SGT(IT),275000,1650000,0
2025/02/14,2025/02/15,株式会社シンカー様向け 更新商談(2025年2月開始),Timing-見送り,Authority （推進者の力）,"【体制】
BDR1名で他業務と兼務している状況。活動リソース捻出できず解約",内藤 陽太,戦略SGT(IT),250000,1500000,0
2025/08/31,2025/09/01,ジョーシス株式会社様向け 更新商談(2025年9月開始),Timing-見送り,Budget – 予算不足,体制変更により予算なくなった,内藤 陽太,戦略SGT(IT),350000,4200000,0
2025/09/30,2025/10/01,株式会社ACROVE様向け 更新商談(2025年10月開始),Lost-他決,Value競合敗北（他社の方が関係性）…（バーター・親会社/株主意向）,SMとバーター契約するため,細矢 由夏,戦略SGT(IT),250000,3000000,0
2025/10/21,2025/10/22,株式会社チームスピリット様向け 更新商談(2025年10月開始),Timing-見送り,Budget – 予算不足,導入部署（BDR）が解散になりSDR部署にリーチはできたが、infoboxをどのように活用するのか・そもそも費用対効果はどうだったのか？を契約期間内で判断できず予算確保ができなかったため,細矢 由夏,戦略SGT(IT),200000,1800000,0
2025/03/31,2025/04/01,株式会社エヌケービー様向け 更新商談(2025年4月開始),,ニーズがない – 導入必要性が弱い,"【体制】
コールするリソースが確保できなかったこと。推進者のいる部門が今期大阪万博案件に注力することになりアウトバウンドの優先順位が下がったことにより解約。",内藤 陽太,"検証SGT(WEB広告,人材)",250000,1500000,0
2025/09/30,2025/05/27,株式会社コミクス様向け 更新商談(2025年10月開始),,Authority （推進者の力）,あ,清水 俊介,その他,0,1000000,0
2025/08/31,2025/09/01,廣告社株式會社様向け 更新商談(2025年9月開始),Timing-見送り,Budget – 予算不足,infoboxを活用し、成果が出ている拠点もあった。ライセンス単位での契約の要望があり、値引きで更新交渉するも、全体最適の中でROIが合わないとのことで解約。,内藤 陽太,"検証SGT(WEB広告,人材)",300000,3000000,0
2025/05/31,2025/06/01,株式会社ヒューマン・アビリティ・デベロップメント様向け 更新商談(2025年6月開始),,その他,"【データ】
データの不備があり、都度確認が必要となり、
手間が増えてしまう。
成果に対してのコストが見合っていない。",三澤 拓也,"検証SGT(WEB広告,人材)",250000,1500000,0
2025/04/30,2025/05/01,株式会社Growth DX（旧株式会社Timo）様向け 更新商談(2025年5月開始),Timing-見送り,ニーズがない – 導入必要性が弱い,"【体制】
ライセンスも増やしていただき、6ヶ月契約により一回目は更新していただいたが、一次的にBDR文脈のコスト削減が決定。
10月より再導入に向けてするとのこと。",内藤 陽太,その他,200000,1200000,0
2025/02/13,2025/02/14,株式会社セールスフォース・ジャパン様向け 更新商談(2025年2月開始)(1000社調査PoC),,Timing – タイミング不一致,期末期初の間で体制が変わるため再提案にて合意,内藤 陽太,戦略SGT(IT),0,1100000,0
2025/05/17,2025/05/18,株式会社マイシェルパ様向け 更新商談(2025年5月開始),,ニーズがない – 導入必要性が弱い,"【費用・体制】
費用対効果の面で解約。
BDRではなく、MK・広報にリソースを捻出し、今後はメンタルヘルス分野の認知拡大を図っていく見込み。",三澤 拓也,その他,235000,1410000,0
2025/11/29,2025/11/30,libUnite株式会社様向け 更新商談(2025年11月開始),Timing-見送り,Budget – 予算不足,リスト作成ツールとしてinfoboxを活用いただいていたため、一定アポ・受注が創出できていたがコストとして見合わないとのことでご解約。,細矢 由夏,"検証SGT(WEB広告,人材)",240000,2880000,0
2025/12/01,2025/12/02,シーホース三河株式会社様向け 更新商談(2025年12月開始),NoRes-連絡つかない,Budget – 予算不足,オンボ完了後、先方の体制変更によりinfobox単独での運用、課題解決が難しいとのことで、5月末での途中解約の申し出をいただく。途中解約による返金ができない旨をお伝えし、継続いただくも状況が変わらず、契約満了を以て解約。,金子 瑞穂,その他,300000,3850000,0
2025/12/1,2025/12/02,株式会社EXIDEA様向け 更新商談(2025年12月開始),Timing-見送り,Timing – タイミング不一致,ISの組織がなくMKメインでご活用いただいていた状態。ISが利用し効果実感できるツールというイメージを払拭しきれなかった+IS専任がいない状態だったため活用しきれていない、とのことでご解約に,細矢 由夏,戦略SGT(IT),280000,3360000,0
2025/06/01,2025/06/02,株式会社BAIZ様向け 更新商談(2025年6月開始),NoNeeds-ニーズなし,その他,契約をしたBAIZ事業が撤退になったため。,内藤 陽太,その他,280000,1500000,0
2025/12/31,2026/1/1,株式会社インフォマート様向け 更新商談(2026年1月開始),Timing-見送り,方針・体制の変更（例 アウトバウンドを行わなくなった）,後日しゅんさんより共有,清水 俊介,戦略SGT(IT),250000,3000000,0
2025/12/11,2025/12/12,GMO NIKKO株式会社様向け 更新商談(2025年12月開始),Timing-見送り,Budget – 予算不足,infoboxをBDRメインで利用していたが組織体制変更によりコスト状況（費用対含め）を鑑みてご解約とのこと,細矢 由夏,"検証SGT(WEB広告,人材)",220000,2640000,0
2025/12/31,2026/01/01,ENGAWA株式会社様向け 更新商談(2026年1月開始),Timing-見送り,継続の意向はあったが社内承認を得ることができなかった,マスターデータをSalesforceにおいておりSalesforceのデータを一から構築しようとなったこと、営業が分業ではないこと、新規より既存に対し比重を置く戦略変更になったことにより解約,細矢 由夏,その他,280000,3360000,0
2025/12/31,2026/01/01,アガサ株式会社様向け 更新商談(2026年1月開始),Timing-見送り,方針・体制の変更（例 アウトバウンドを行わなくなった）,後日しゅんさんより共有,清水 俊介,その他,250000,3000000,0
2026/01/05,2026/01/06,株式会社リンケージ様向け 更新商談(2026年1月開始),Timing-見送り,方針・体制の変更（例 アウトバウンドを行わなくなった）,体制変更と先方の予算事情により解約,金子 瑞穂,戦略SGT(IT),350000,4200000,0
2026/01/19,2026/01/20,アールピーエーテナー株式会社様向け 更新商談(2026年1月開始),,Budget – 予算不足,統合失調症、冷静な判断ができないもとの契約であったと弁護士から連絡があり途中解約,山口 将人,その他,250000,3250000,0
2025/8/25,2025/8/26,株式会社QQ English様向け 更新商談(2025年8月開始),Timing-見送り,Budget – 予算不足,推進者退職ならびに業績不振により解約,内藤 陽太,その他,350000,2100000,0
2025/8/25,2025/8/26,株式会社グッドカルチャーズ様向け 更新商談(2025年8月開始),Timing-見送り,ニーズがない – 導入必要性が弱い,顧客が提供している商材に対し定量で効果創出するのが難しかったため,内藤 陽太,その他,250000,1500000,0
2025/9/30,2025/10/1,株式会社KAKEAI様向け 更新商談(2025年10月開始),Timing-見送り,Budget – 予算不足,CPAが悪く予算確保ができなかったため,細矢 由夏,その他,200000,1400000,0
2025/09/30,2025/10/01,ディーエムソリューションズ株式会社様向け 更新商談(2025年10月開始),Timing-見送り,Budget – 予算不足,現場は活用していきたかったがキーマンとなる決裁権のある代表がインテントに対しもっと費用対がとれるのでは？とのことでご継続にならず,細矢 由夏,戦略SGT(IT),300000,1800000,0
2025/09/30,2025/10/01,jinjer株式会社様向け 更新商談(2025年10月開始),,要件不一致 – 機能が合わない,"導入時はマーケティングに頼らず自分たちで過去リードを効率よくアプローチする方法を探しており、インテントに期待し導入。＊DBはuSonarを利用。
その後、経営陣が大きく入れ替わり、マーケティングに予算を投じて新規流入と対応に注力するよう方針転換。ここで掘り起こしにおける活用ニーズが低下。
用途を見出すためフロントの方も、インテントがある＝受注可能性の高い商談　という可能性がないか模索したが、別の手段で予測できるようになりinfobox用途がなくなってしまう。",内藤 陽太,戦略SGT(IT),300000,1800000,0
2025/11/11,2025/11/12,株式会社アズライト様向け 更新商談(2025年11月開始),Timing-見送り,Budget – 予算不足,infoboxを活用したうえで新規創出ができなかったため,金子 瑞穂,"検証SGT(WEB広告,人材)",250000,1750000,0
2025/08/31,2025/09/01,日本PCサービス株式会社様向け 更新商談(2025年9月開始),Timing-見送り,Budget – 予算不足,"成果出るまでディスカウントの提案で再検討頂くも失注。
※社内体制に変更があり、見直し",清水 俊介,戦略SGT(IT),270000,1320000,0
2025/10/03,2025/10/04,株式会社iTAN様向け 更新商談(2025年10月開始),Timing-見送り,Budget – 予算不足,"インテントで上がってくる企業数が少ない

2nd Party いろいろ選択項目を絞らずやってみたりしたが、インテントスコアのある企業が少ない、同じ企業が多い。

1stPartyは競合企業がスコア上がってくることが多く活用しきれなかった。",金子 瑞穂,戦略SGT(IT),330000,1980000,0
